industry_type,total_direct_emissions,state_population,state_gdp_per_capita,state_policies_incentives,USDA_energy_invest_unit,USDA_energy_invest,renewables_percent
48,11.036054308146548,27914064,58033.62062,140,176,83600842.01,13.4
48,12.729345233440405,27914064,58033.62062,140,176,83600842.01,13.4
48,11.182064455924476,27914064,58033.62062,140,176,83600842.01,13.4
48,11.251761979279255,27914064,58033.62062,140,176,83600842.01,13.4
48,12.540422094917728,27914064,58033.62062,140,176,83600842.01,13.4
48,10.281213119210477,27914064,58033.62062,140,176,83600842.01,13.4
9,13.334553688399756,27914064,58033.62062,140,176,83600842.01,13.4
48,12.101182852398447,27914064,58033.62062,140,176,83600842.01,13.4
48,11.384512380004418,27914064,58033.62062,140,176,83600842.01,13.4
29,10.306564945653633,27914064,58033.62062,140,176,83600842.01,13.4
9,11.845733396217183,27914064,58033.62062,140,176,83600842.01,13.4
29,11.781754846992902,27914064,58033.62062,140,176,83600842.01,13.4
48,11.599763493602566,27914064,58033.62062,140,176,83600842.01,13.4
48,11.086100092078233,27914064,58033.62062,140,176,83600842.01,13.4
46,13.885045695198576,27914064,58033.62062,140,176,83600842.01,13.4
32,11.46798069179873,27914064,58033.62062,140,176,83600842.01,13.4
16,10.696406807463745,27914064,58033.62062,140,176,83600842.01,13.4
29,11.466467283614033,27914064,58033.62062,140,176,83600842.01,13.4
29,10.6033290758992,27914064,58033.62062,140,176,83600842.01,13.4
46,13.568660530542243,27914064,58033.62062,140,176,83600842.01,13.4
46,13.135950201066638,27914064,58033.62062,140,176,83600842.01,13.4
48,11.964005861389099,27914064,58033.62062,140,176,83600842.01,13.4
32,9.717575959265922,27914064,58033.62062,140,176,83600842.01,13.4
29,8.996054723349548,27914064,58033.62062,140,176,83600842.01,13.4
46,14.464815208651634,27914064,58033.62062,140,176,83600842.01,13.4
46,14.956805173021758,27914064,58033.62062,140,176,83600842.01,13.4
48,11.596190667134273,27914064,58033.62062,140,176,83600842.01,13.4
9,10.140890773773583,27914064,58033.62062,140,176,83600842.01,13.4
9,14.439482250721067,27914064,58033.62062,140,176,83600842.01,13.4
48,11.603937785832352,27914064,58033.62062,140,176,83600842.01,13.4
48,12.353214895011119,27914064,58033.62062,140,176,83600842.01,13.4
48,11.466826551135716,27914064,58033.62062,140,176,83600842.01,13.4
48,11.0205903335179,27914064,58033.62062,140,176,83600842.01,13.4
48,10.099044056422004,27914064,58033.62062,140,176,83600842.01,13.4
48,11.69984891678387,27914064,58033.62062,140,176,83600842.01,13.4
48,9.5258078304359,27914064,58033.62062,140,176,83600842.01,13.4
48,11.848757496704017,27914064,58033.62062,140,176,83600842.01,13.4
48,11.797113314730199,27914064,58033.62062,140,176,83600842.01,13.4
46,12.157001070768494,27914064,58033.62062,140,176,83600842.01,13.4
32,10.280288336238145,27914064,58033.62062,140,176,83600842.01,13.4
9,11.291267459685917,27914064,58033.62062,140,176,83600842.01,13.4
46,14.95771110814564,27914064,58033.62062,140,176,83600842.01,13.4
46,13.84155863783513,27914064,58033.62062,140,176,83600842.01,13.4
32,10.599650132207074,27914064,58033.62062,140,176,83600842.01,13.4
48,7.15481065034266,27914064,58033.62062,140,176,83600842.01,13.4
32,9.79480686453439,27914064,58033.62062,140,176,83600842.01,13.4
29,12.936965533688126,27914064,58033.62062,140,176,83600842.01,13.4
29,12.556702199868822,27914064,58033.62062,140,176,83600842.01,13.4
46,10.298804272845809,27914064,58033.62062,140,176,83600842.01,13.4
46,14.179806866977984,27914064,58033.62062,140,176,83600842.01,13.4
29,10.723104463269586,27914064,58033.62062,140,176,83600842.01,13.4
46,14.444333515489836,27914064,58033.62062,140,176,83600842.01,13.4
48,12.213206201112891,27914064,58033.62062,140,176,83600842.01,13.4
9,10.983946529039793,27914064,58033.62062,140,176,83600842.01,13.4
29,11.422406423311463,27914064,58033.62062,140,176,83600842.01,13.4
10,11.189232904391858,27914064,58033.62062,140,176,83600842.01,13.4
28,10.415023643860263,27914064,58033.62062,140,176,83600842.01,13.4
33,10.616648024475527,27914064,58033.62062,140,176,83600842.01,13.4
29,11.876103756229565,27914064,58033.62062,140,176,83600842.01,13.4
48,11.990496749642249,27914064,58033.62062,140,176,83600842.01,13.4
31,13.475513726449591,27914064,58033.62062,140,176,83600842.01,13.4
49,8.705256234289305,27914064,58033.62062,140,176,83600842.01,13.4
29,10.237454081062646,27914064,58033.62062,140,176,83600842.01,13.4
