,Facility Id,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
400,1008954,109933.0,105473.5,96972.85,34894.8,97962.45,61913.55,69770.4,111223.5,46284.0,56523.65
402,1006564,72809.888,37009.772,82837.414,77684.25,95278.398,44151.08,40922.894,35617.448,39744.442,43878.136
409,1008714,110275.084,116594.736,120949.448,73809.552,42778.818,55443.808,73420.578,84342.84,213705.548,550145.398
429,1008490,1750517.3068745756,2149291.329698496,1614816.8989161917,1273191.558,1049929.354,1537528.224,1494785.314,1278658.01,1350024.726,698529.668
434,1009354,286194.984,342750.788,285410.864,217131.338,159649.912,164410.73,131712.076,81897.726,74043.376,43662.942
435,1009332,179187.988,164153.402,175468.564,123314.126,88191.186,67936.848,94057.326,181786.872,80867.276,75335.932
441,1008172,43904.36,51206.564,48699.912,46531.246,42066.278,81415.87,113724.552,115165.986,100091.198,137955.394
451,1007599,484715.206,509587.51,470207.016,436794.874,346635.376,188380.484,219456.234,91734.866,99210.496,40433.928
456,1007037,19523.342,19306.644,18460.55,23846.9,23375.65,21085.28,33594.1,30652.4,17341.9,38339.65
458,1008411,30690.39,36803.604,50880.842,49180.784,38788.272,37827.028,31618.356,51772.372,49240.824,52079.014
463,1008066,75639.91,61352.552,79223.654,80706.14,92488.776,106983.552,126573.084,98043.964,141447.114,130024.42
464,1009135,93715.046,106400.196,82829.596,131181.566,135035.024,162131.194,159514.75,161254.408,221800.842,842079.74
466,1008703,7179.15,9761.6,11083.5,19413.394,39131.8,44086.75,39941.872,39444.768,42711.97,40146.462
473,1008299,92310.89,127876.536,139697.63,129887.464,124424.128,104066.224,102077.37,118317.472,118573.862,96925.012
477,1009683,70102.392,70714.118,39037.994,32344.374,54991.88,29111.058,16014.564,33745.3,116449.926,100120.76
479,1009056,402542.942,309941.254,207049.81,223262.352,181101.876,200085.678,245125.458,88934.01,69428.57,31765.688
483,1009588,398694.456,345325.728,378978.878,387773.43,314130.054,364339.122,1244930.978,1034518.588,658189.478,265486.854
493,1009762,34320.064,33564.916,33210.216,32487.216,28812.632,29270.84,24798.622,38401.486,31942.722,41023.92
495,1004628,68050.346,144072.118,172282.56,196416.01,186811.948,289453.952,374153.042,332565.296,286880.772,2472.544
