,Facility Id,Primary NAICS Code,Latest Reported Industry Type (sectors),2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
4012,1003464,562212,Waste,178135.0,199781.25,194981.25,212222.5,166715.25,204261.0,125887.0,123450.5,67175.0,62157.25
4013,1003387,562213,Waste,63677.618,62955.85,78714.1,81424.17,85376.982,85441.512,83458.124,84878.798,84671.124,81423.096
4014,1006759,611310,Other,32116.68,39239.652,51570.004,49210.964,49725.212,45749.928,47090.024,49047.076,56189.79,56366.088
4015,1005297,212112,Other,10532.524,10717.018,13938.426,15892.796,14274.894,16799.208,27082.778,20164.044,17469.044,19340.496
4016,1002543,221112,Power Plants,10272.612,7614.072,10397.16,53848.896,21036.72,23959.66,15035.044,4297.584,5737.38,22097.42
4017,1004267,324110,"Petroleum Product Suppliers,Refineries",125863.89,141812.496,127173.482,153916.814,132425.806,125899.404,116571.626,170964.49,143643.292,130576.964
4018,1005806,486210,Petroleum and Natural Gas Systems,60897.576,62880.218,56702.192,63341.218,75271.07,52928.108,53964.762,60550.324,73467.076,45707.778
4019,1002763,486210,Petroleum and Natural Gas Systems,62566.076,68990.254,59835.134,54366.458,74768.336,81582.914,68131.148,87728.876,91815.806,61807.674
4020,1002762,486210,Petroleum and Natural Gas Systems,92534.154,100697.878,100260.182,102170.326,104002.016,114763.874,110892.138,102330.022,122132.898,108712.246
4021,1006156,486210,Petroleum and Natural Gas Systems,28211.862,39135.616,26421.012,43960.798,47905.83,49246.472,50504.072,62470.316,73746.722,31588.734
4022,1002761,486210,Petroleum and Natural Gas Systems,231764.032,231298.182,233554.872,229023.696,240030.202,248273.918,218030.136,229343.94,246124.274,244857.582
4023,1005804,486210,Petroleum and Natural Gas Systems,54513.602,46905.43,68026.552,47365.93,51683.564,83530.54,72116.636,55593.448,82767.19,88036.222
4024,1002760,486210,Petroleum and Natural Gas Systems,113995.724,124229.29,120917.548,115518.722,127344.378,126074.082,116281.466,117166.868,131345.91,129461.366
4026,1003625,562212,Waste,16007.5,17884.55,19085.15,18719.4,29133.65,25235.85,25564.9,37605.2,30282.7,35221.2
4027,1007806,331318,Metals,23243.312,25560.004,24209.708,22613.764,22433.016,23256.912,23764.16,52524.392,25560.804,28502.95
4028,1005622,327310,Minerals,602863.56,538779.112,450014.4,504487.22,502941.288,446921.452,416346.496,418510.952,348863.858,385757.934
4030,1006261,562212,Waste,240370.546,169138.698,214119.448,234963.5,269385.45,156907.298,229101.048,230094.046,150692.646,153025.596
4031,1004811,331110,Metals,131617.744,137908.988,160937.336,148411.576,133173.988,166598.084,135702.504,156088.236,160234.48,164886.728
4033,1009769,211130,Petroleum and Natural Gas Systems,19403.816,15040.67,32993.474,38185.814,23846.518,25405.344,21572.366,27909.11,13888.64,76333.222
4035,1009772,211130,Petroleum and Natural Gas Systems,35659.812,45130.704,27616.118,14469.034,17644.32,26801.348,25375.244,21860.46,16804.84,82086.788
4036,1009774,211130,Petroleum and Natural Gas Systems,57890.786,75042.228,75736.978,81150.618,39467.874,36694.932,34772.484,32940.07,23405.82,137651.56
4037,1009775,211130,Petroleum and Natural Gas Systems,61280.996,55169.088,85716.744,84189.076,30717.448,81783.128,41182.284,31282.29,25705.69,141686.222
4038,1009776,211130,Petroleum and Natural Gas Systems,45146.854,52742.446,32137.168,37791.53,41937.318,46458.908,47274.566,32729.72,30527.73,83894.98
4039,1001268,221112,Power Plants,237166.716,247023.284,298659.72,284654.996,327487.336,334547.948,339573.784,295149.702,319921.612,274960.032
4040,1004037,562212,Waste,172668.374,162975.97,178733.324,201763.458,156491.266,198451.836,212258.708,236182.034,410825.248,249959.32
4041,1002011,322121,Pulp and Paper,150043.69,137159.398,127726.816,130063.998,137288.682,136111.338,134258.37,134271.0,137067.0,125698.0
4042,1000869,322121,Pulp and Paper,131613.656,247496.792,359748.01,444447.858,484551.358,548296.318,557920.502,494049.94,684100.2,685349.0
4044,1002185,322121,Pulp and Paper,7670.92,56275.188,64597.108,65640.304,60599.872,65877.352,65837.352,69477.688,68853.692,63626.912
4045,1002013,322121,Pulp and Paper,40617.948,41002.996,42151.292,38820.804,37967.908,40561.848,41578.344,38820.704,39938.5,36868.5
4046,1006061,322121,Pulp and Paper,83559.836,87526.42,88684.116,84728.88,83862.184,88672.116,90407.76,89908.612,87257.0,83762.0
4047,1006052,322121,Pulp and Paper,120914.644,106124.4,107086.096,108372.992,106960.848,101675.568,103817.86,96249.89,93518.0,79499.0
4048,1002179,322121,Pulp and Paper,67137.048,80762.596,82623.788,77633.208,81000.996,77556.408,75163.616,75934.512,79700.1,55786.58
4049,1002187,322121,Pulp and Paper,293472.696,209417.56,53250.7,54545.644,54774.944,53213.2,53495.248,53018.0,52630.352,50214.36
4050,1006065,322121,Pulp and Paper,149925.436,146186.7,147111.896,147377.144,154408.668,151456.38,150557.332,145024.204,144619.356,145303.952
4051,1007971,313310,Other,24885.756,41424.944,39488.25,39127.352,33698.87,35457.908,37888.452,34398.13,39498.5,46401.57
4052,1006300,562212,Waste,92712.75,87273.25,95082.25,114360.25,115002.5,133418.35,171899.85,205934.4,295221.0,255682.5
4053,1007822,562212,Waste,131245.596,72738.294,68422.844,72847.596,77623.996,2103.148,2536.698,2719.046,12855.196,164017.096
4054,1007674,562212,Waste,246438.472,292605.214,241045.842,250446.678,239839.476,295880.026,248634.428,220016.904,201731.53168,232229.782
4058,1002802,221112,Power Plants,693761.018,832319.652,1024505.014,1542807.784,1546073.27,1698568.226,1294758.388,1284502.944,1592375.548,696554.32
4059,1004109,486210,Petroleum and Natural Gas Systems,71.8,7392.05,36606.544,51928.534,49831.488,62896.586,61147.928,21792.72,88909.45,118583.5
4066,1005523,325199,Chemicals,28002.144,35272.768,21114.42,30701.784,30726.084,32130.28,34243.372,33028.876,25204.456,24795.556
4070,1003897,486210,Petroleum and Natural Gas Systems,38139.222,56133.612,40826.012,38782.418,42868.262,45990.946,59023.28,50750.97,80473.998,26413.77
4071,1002923,486210,Petroleum and Natural Gas Systems,53311.568,62583.856,53413.81,47136.232,56653.2,55772.558,48521.228,61800.84,44200.14,56499.6
4074,1005919,327993,Minerals,85170.976,92721.556,81830.868,71310.44,87327.188,52621.972,39623.284,6465.028,0.0,22574.928
4075,1002636,327993,Minerals,60686.996,67361.772,64770.416,63938.672,67675.432,65587.528,72836.472,73713.668,65678.04,49007.088
4076,1003232,562212,Waste,66594.75,74154.75,72194.5,69341.5,61990.5,62861.75,67266.25,64423.5,54205.75,25250.0
4077,1002407,325311,"Chemicals,Suppliers of CO2",2359236.246,2204568.762,1845963.196,1672354.404,1530246.726,1547769.734,1593076.572,1733304.984,1805872.19,1918015.93
4078,1006575,325311,"Chemicals,Suppliers of CO2",599735.396,605576.09,551842.732,576883.012,583951.544,471434.814,561958.914,579323.604,514627.468,572513.024
4079,1006037,325311,"Chemicals,Suppliers of CO2",582840.96,501717.96,544739.912,527099.77,459613.382,506418.09,531950.95,499773.26,552143.296,524528.032
4080,1007997,327310,Minerals,1050335.73,1043948.992,1009435.018,951950.396,1033058.532,1063769.152,972760.554,909223.528,904788.372,724550.194
4082,1006018,311411,Other,46745.124,46697.524,47336.272,44633.232,47957.12,53406.248,49591.064,57855.832,44757.132,42420.84
4084,1005866,325199,Chemicals,23708.16,28039.744,27704.496,29542.688,25151.456,30550.584,29262.04,27320.948,26261.852,26394.208
4085,1000032,325212,Other,205849.706,206496.004,214694.394,206087.974,206772.424,258889.45,334390.762,286951.686,286055.52,291407.13
4086,1005431,211130,Petroleum and Natural Gas Systems,95901.336,102070.164,112204.048,154699.756,167961.596,173227.4,247095.37,232173.676,260769.58,233284.652
4087,1011252,322121,Pulp and Paper,717.148,669.748,66980.748,673.848,66197.1,72991.976,69675.388,74966.97,49705.0,52358.0
4088,1003449,212324,Other,17473.184,22414.362,23063.254,22775.876,23790.26,24066.258,25045.556,24483.208,21379.42,24073.46
4091,1002056,331315,Metals,106233.0,128390.116,130646.408,126365.324,122424.44,117859.788,114923.968,110966.032,108363.792,108437.69
4092,1001313,221112,Power Plants,51765.308,39924.152,7256.124,4547.584,5841.528,1251.596,2105.192,2380.992,4974.332,2568.44
4093,1000182,221112,Power Plants,12903.452,14015.748,22920.264,11099.008,26411.152,23450.264,12498.504,16609.188,26134.504,13888.698
4096,1001595,562212,Waste,1647.25,2296.5,15703.25,14427.5,26429.5,36294.0,44893.25,56004.5,84922.75,89904.0
4101,1000747,221112,Power Plants,61697.972,57281.22,174209.818,137974.57,301883.816,387651.794,317445.792,205587.34,90711.916,49003.296
4103,1004837,211130,Petroleum and Natural Gas Systems,36527.79,35481.668,40584.962,34143.586,37811.346,29578.646,42355.596,56937.25,39943.406,49218.238
4104,1000216,562212,Waste,23260.75,28452.25,18051.25,34204.75,25000.25,68548.0,67101.398,65764.048,53642.92529,74133.17705
4106,1001179,221112,Power Plants,153676.432,160715.148,271610.986,146912.15,307193.733,142652.062,61920.223,63446.316,204279.262,77808.08
4107,1000657,221112,Power Plants,718051.428,748323.92,618201.582,790401.262,447171.03,798824.138,765369.816,359295.41,651528.357,510059.744
4109,1005234,212230,"Other,Waste",174614.898,206459.276,206350.286,426691.658,727140.62,709073.224,770441.4,803227.906,685963.882,702972.248
4115,1004001,221112,"Other,Power Plants",298402.976,417899.036,476126.208,461822.912,439169.852,475506.94,488628.36,841320.832,770354.6,833446.34
4116,1000365,562212,Waste,98375.75,94134.0,91489.75,89390.75,105013.5,102365.25,99658.0,97011.0,95427.25,93669.5
4118,1003410,221112,Power Plants,98517.184,78885.732,70768.21,58023.928,84073.186,95195.2,80994.228,83041.15,78846.142,78968.462
4121,1000883,221112,Power Plants,7264330.89,10546345.038,11596708.204,11148893.52,9899247.412,9123018.962,10548202.806,11324077.816,8982162.46,10394375.178
4122,1005181,486210,Petroleum and Natural Gas Systems,85641.622,96092.266,100647.676,95228.728,181483.354,197791.56,149137.976,130572.9,140466.084,163751.292
4127,1004399,562212,Waste,569558.25,68778.75,49835.5,69113.5,281637.5,263430.0,288428.0,796432.25,549956.25,207947.5
4128,1001520,221112,Power Plants,1557610.034,3189311.656,4775065.932,4774329.858,4583762.218,5266433.826,6261985.356,5395216.97,5450251.516,5377727.326
4129,1004709,211130,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",41521.598,48973.968,58759.088,49376.626,41865.252,52863.2,46867.468,50097.772,42741.598,30154.24
