,Facility Id,2020 Total reported direct emissions from Local Distribution Companies,2019 Total reported direct emissions from Local Distribution Companies,2018 Total reported direct emissions from Local Distribution Companies,2017 Total reported direct emissions from Local Distribution Companies,2016 Total reported direct emissions from Local Distribution Companies,2015 Total reported direct emissions from Local Distribution Companies,2014 Total reported direct emissions from Local Distribution Companies,2013 Total reported direct emissions from Local Distribution Companies,2012 Total reported direct emissions from Local Distribution Companies,2011 Total reported direct emissions from Local Distribution Companies
66,1003839,128050.7,132997.1,140955.2,145662.9,165757.1,167114.7,175587.7,183653.9,224665.75,190552.9
67,1007304,31734.7,31922.65,32113.95,32172.2,32497.6,32744.9,33652.55,34523.35,35716.25,37173.7
68,1007569,46835.55,50950.55,50967.15,50948.05,51775.3,53812.55,55449.1,57183.9,60424.3,62112.8
69,1004527,230479.342,229934.79,235601.842,234714.744,241376.0,250784.5,262913.05,265636.65,270568.2,268962.6
70,1006503,423970.448,458970.048,478799.698,582622.698,565143.598,577508.998,675855.45,671742.45,71356.8,71356.8
71,1003285,25487.95,25912.7,26765.45,27627.8,28879.8,29490.0,25716.6,26323.2,34946.0,34946.1
72,1004703,589797.6,603425.25,620119.6,638450.95,658109.65,702411.7,708651.298,790282.948,866461.45,1033477.25
73,1004977,94681.196,92544.096,91216.246,87714.65,87101.948,85404.2,83245.2,81941.748,80496.1,78899.6
75,1004706,69746.75,73674.7,73166.85,75712.45,76635.3,101492.95,111406.0,134601.0,179975.25,300358.75
76,1001738,6381.7,6230.0,6189.0,6241.0,6462.7,6661.15,6514.5,6931.3,6203.2,6222.25
77,1002687,28747.1,29038.75,27285.3,27257.6,26904.8,29125.1,39217.6,46758.85,49759.8,61401.5
78,1004054,52576.748,57862.498,67797.898,76189.198,84723.938,85766.292,88729.8,92183.7,100637.8,97510.4
79,1007828,3276.0,3289.25,3358.35,3210.4,3188.8,3131.3,3122.55,3069.2,3068.95,2173.85
81,1005109,5240.4,5185.05,5179.05,5156.95,5143.7,5128.7,5075.6,5016.6,5915.25,5824.65
82,1001088,36476.4,37362.5,42846.6,44673.05,46803.15,48743.7,88599.0,96944.0,116068.25,118414.25
84,1005572,10013.85,9928.5,9880.15,9860.15,11565.65,12323.05,12359.65,12446.9,15043.35,11999.15
85,1005240,19846.15,23123.55,26818.3,31540.75,35381.85,40368.35,44592.95,48072.7,52952.55,58203.85
87,1003840,101301.65,102283.1,108197.238,117061.636,126483.178,135424.93,139565.074,155978.392,161737.344,168863.116
90,1004229,16862.05,16704.85,16704.75,16754.2,18292.0,18572.2,15480.7,18536.8,20004.9,21237.1
95,1007021,412.9,408.5,408.9,408.15,412.9,400.4,391.9,386.4,389.25,397.75
96,1002297,8316.75,8861.8,8868.05,8976.4,9229.2,12374.9,12951.6,0.0,0.0,10685.15
97,1001251,1478.3,1486.3,1481.55,1484.3,1725.85,1427.2,1522.95,0.0,10.5,1483.8
98,1004210,73663.45,74994.05,88876.5,93640.05,96354.85,113870.25,133003.35,112246.6,116339.65,119894.3
