,Facility Id,Facility Name,State,Latitude,Longitude,Primary NAICS Code,Industry Type (sectors),CO2 emissions (non-biogenic) 
3596,1000580,MEDICAL AREA TOTAL ENERGY PLANT,MA,42.336667,-71.108333,221330,Power Plants,252440.3
3597,1001921,MEDICAL CENTER COMPANY,OH,41.50329,-81.6039,221330,Power Plants,74760.2
3598,1003240,MEDORA SANITARY LANDFILL,IN,38.86662,-86.19976,562212,Waste,37.1
3599,1013816,MEGlobal Oyster Creek,TX,28.980228,-95.333659,325199,"Chemicals,Suppliers of CO2",203243.6
3600,1006466,MEMPHIS CELLULOSE LLC,TN,35.158444,-89.966754,322121,Pulp and Paper,24226.9
3601,1007755,MENOMINEE LANDFILL,MI,45.17373,-87.62938,562212,Waste,307.7
3602,1002931,"MEP Atlanta Station 2, TX",TX,33.056563,-94.186809,486210,Petroleum and Natural Gas Systems,53284.9
3603,1002409,"MEP Station 3 Perryville, LA",LA,32.73211,-92.24888,486210,Petroleum and Natural Gas Systems,50763.9
3604,1002849,"MEP Station 4 Vicksburg, MS",MS,32.274447,-90.668333,486210,Petroleum and Natural Gas Systems,51065.1
3605,1007059,MERAUX REFINERY,LA,29.930517,-89.940643,324110,"Petroleum Product Suppliers,Refineries",626522.0
3606,1004249,MERCEDES-BENZ US INTERNATIONAL INC,AL,33.18936,-87.26062,336111,Other,40928.1
3608,1003595,MERCK SHARP & DOHME CORP - Stonewall Plant,VA,38.38433,-78.65199,325412,Chemicals,38515.0
3609,1003261,MERCK SHARP & DOHME CORP. - RAHWAY,NJ,40.612743,-74.260921,325412,Chemicals,85854.8
3610,1003063,MERCURY MARINE FOND DU LAC COMPLEX,WI,43.759661,-88.468509,333618,Other,31370.8
3611,1006977,MESA COUNTY LANDFILL,CO,39.01261,-108.49194,562212,Waste,20.8
3613,1007715,MESSER LLC CORTEZ PLANT,CO,37.343787,-108.760096,325120,"Chemicals,Suppliers of CO2",1036.4
3614,1007727,METRO METHANE RECOVERY FACILITY,IA,41.5989,-93.3548,562212,Waste,1981.3
3615,1005105,METROPOLITAN AIRPORTS COMMISSION,MN,44.893089,-93.232433,488119,Other,22692.9
3616,1001644,"METTIKI COAL, LLC",MD,39.26178,-79.42836,212112,Other,29933.8
3617,1006131,MEWBOURN GAS PLANT,CO,40.266583,-104.734944,211130,Petroleum and Natural Gas Systems,280286.3
3619,1006675,MEXICHEM FLUOR INC.,LA,30.235778,-91.096005,325120,"Chemicals,Industrial Gas Suppliers",31923.3
3620,1006611,MGM RESORTS INTERNATIONAL,NV,36.103484,-115.179837,721120,Other,100821.7
3621,1002865,"MGPI Processing, Inc.",KS,39.561,-95.1333,312140,"Other,Waste",140326.7
