fac_id,fac_name,state,latitude,longitude,naics,sector,emissions_2020,co2_emissions_2020,emissions_2010,co2_emissions_2010,max_capacity,fuel_type
1000670,J H Campbell,MI,42.91,-86.2,221112,Power Plants,6774693.25,6739157.3,9777387.95,9726094.9,17.0,Coal
1007376,J K Spruce,TX,29.31,-98.32,221112,Power Plants,5785735.67,5754715.79,7023111.53,6989054.5,63.5,Coal
1000995,J P Madgett,WI,44.3,-91.91,221112,Power Plants,1684550.27,1675721.7,2251962.49,2240207.7,83.0,Coal
1001496,J R Kelly,FL,29.65,-82.32,221112,Power Plants,373223.92,372844.7,128987.19,128849.4,207.0,Natural Gas
1002804,J R SIMPLOT CO,WA,46.84,-119.18,311411,"Other,Waste",110848.12,47794.3,37678.91,37640.0,99.35,Natural Gas
1003636,J R SIMPLOT COMPANY,CA,36.55,-120.11,325311,Chemicals,19137.58,16631.1,30964.74,15234.9,200.0,Petroleum Products
1000395,J Robert Massengale Generating Station,TX,33.6,-101.84,221112,Power Plants,24573.91,24548.7,136933.44,136794.8,263.0,Natural Gas
1002832,J. R. Simplot Co.,WA,47.13,-119.19,311411,"Other,Waste",28730.64,22827.1,23735.96,23691.0,98.8,Other
1004956,J.G. Boswell Tomato Company Kern LLC,CA,35.4,-119.41,311421,Other,34819.97,34783.8,44579.43,44533.4,180.0,Natural Gas
1004832,J.G. Boswell Tomato Company Kings LLC,CA,36.07,-119.57,311421,Other,31144.73,31112.4,42281.04,42237.2,151.0,Natural Gas
1000559,J.M. Shafer Generating Station,CO,40.1,-104.77,221112,Power Plants,375313.61,374932.2,442810.71,442360.8,0.15,Natural Gas
1010687,J.R. Simplot Company,ND,47.93,-97.08,311411,"Other,Waste",44892.61,42770.3,54197.2,54141.3,75.43,Other
1003083,JACKALOPE TREATER,TX,27.26,-98.9,211130,Petroleum and Natural Gas Systems,49506.93,49426.6,35179.17,35143.0,40.0,Natural Gas
1007671,JAY COUNTY LANDFILL,IN,40.38,-85.09,562212,Waste,32877.36,161.4,40966.2,224.97,11.0,Other
1004257,"JBS SOUDERTON, INC. - RENDERING FACILITY",PA,40.28,-75.34,311613,"Other,Waste",62037.59,39434.5,25802.12,25747.2,56.4,Natural Gas
1006121,JBS SWIFT,IA,42.05,-92.9,311612,"Other,Waste",41593.92,33269.5,42749.6,35617.0,67.9,Natural Gas
1004022,JBS Swift Beef Company - Greeley Plant,CO,40.44,-104.69,311611,Other,56423.99,56365.9,45815.83,45768.7,62.756,Natural Gas
1010327,JBS Swift Food,IA,41,-92.39,311611,"Other,Waste",46354.25,40520.5,33272.96,33224.9,60.0,Natural Gas
1002346,JBS/Swift Pork Company,IL,39.99,-90.4,311611,"Other,Waste",39127.73,39059,29263.05,29214.3,63.0,Natural Gas
1003624,JEFFERSON CITY LANDFILL,MO,38.55,-92.1,562212,Waste,33190.1,79.8,44919.2,93.9,0.225,Petroleum Products
1002587,JEFFERSON PARISH SANITARY LANDFILL,LA,29.91,-90.26,562212,Waste,267548.25,59.5,55926.6,143.3,0.55,Petroleum Products
1002559,"JELD-WEN, INC.",PA,41.76,-76.42,321219,"Other,Waste",49293.77,45791.9,34724.76,32732.6,273.2,Other
1007129,JERRITT CANYON MINE,NV,41.4,-115.91,212221,Other,13626.09,13545.2,106619.89,105865.1,0.26,Petroleum Products
1004730,"JESSOP STEEL, LLC WASHINGTON FACILITY",PA,40.18,-80.27,331110,Metals,29540.19,29509.5,30483.88,30451.0,50.0,Natural Gas
1005598,JEWELL COAL & COKE,VA,37.23,-82.04,324199,Metals,453713.51,453705.9,602834.38,602830.8,16.0,Petroleum Products
1004529,JIM BEAM BRANDS COMPANY,KY,37.93,-85.65,312140,Other,30895.78,30864,27159.15,26953.8,95.2,Coal
1004528,JIM BEAM BRANDS COMPANY,KY,37.81,-85.69,312140,Other,43153.16,42974.8,36895.85,36681.7,88.85,Coal
1002458,JOHN DEERE FNDRY WATERLOO,IA,42.51,-92.36,333111,Other,44079.38,44033.9,34563.11,34526.6,24.5,Natural Gas
1001732,JOHN DEERE HARVESTER WORKS,IL,41.53,-90.43,333111,Other,18934.58,18915.4,61039.33,60586.4,2.375,Natural Gas
1006614,JOHNS HOPKINS - HOMEWOOD CAMPUS,MD,39.33,-76.62,611310,Other,30700.54,30669.3,24960.46,24934.7,12.5,Natural Gas
1002907,JOHNS MANVILLE,OH,41.53,-83.71,327212,Minerals,64008.21,63955.6,57651.49,57606.9,48.5,Natural Gas
1007968,JOHNS MANVILLE,TN,35.37,-84.51,327212,Minerals,107943.67,107853.8,70236.78,70176.0,49.124,Natural Gas
1003348,JOHNS MANVILLE INTERNATIONAL INC PLANT NO 8,OH,41.3,-84.34,327993,Minerals,32833.48,32800.6,32956.88,32924.0,24.0,Natural Gas
1003349,JOHNS MANVILLE PLANT NO 2,OH,41.29,-84.36,327993,Minerals,37602.17,37566,32265.68,32233.9,59.8,Natural Gas
1001985,JR SIMPLOT COMPANY - FOOD GROUP,ID,43.67,-116.73,311411,"Other,Waste",59197.68,57678.5,33941.17,33906.1,0.2,Petroleum Products
1005035,JR SIMPLOT COMPANY DON SIDING COMPLEX,ID,42.91,-112.53,325312,Chemicals,107234.99,107190.6,97639.54,97608.3,175.0,Natural Gas
1005253,JUNIPER RIDGE LANDFILL,ME,44.98,-68.72,562212,Waste,26260.7,26.7,82812.05,34.8,0.13,Petroleum Products
1003494,JW Aluminum,SC,32.7,-80.03,331315,Metals,47816.12,47766.8,52875.61,52813.4,31.0,Natural Gas
