Fac_ID,Fac_Name,State,Latitude,Longitude,NAICS,Sector,Total_Emissions,CO2_Emissions
1007720,WATERS LANDFILL,MI,44.850833,-84.682741,562212,Waste,52106.09,1112.39
1008042,WAUNA MILL,OR,46.157035,-123.407836,322121,Pulp and Paper,219409.81,200104.6
1001863,"WAUPACA FOUNDRY, INC-PLANTS 2 & 3",WI,44.3559,-89.054,331511,Metals,159141.75,158092.6
1003856,WAUSAU PAPER MILLS LLC,MN,46.377673,-94.180809,322121,Pulp and Paper,114239.33,113379.4
1007061,WAYNE COUNTY LANDFILL,IL,38.362564,-88.36679,562212,Waste,78889.96,14.7
1005269,WAYNE DISPOSAL,MI,42.21917,-83.522691,562211,Waste,12015.24,3587.1
1005556,WAYNE STATE UNIVERSITY,MI,42.36012,-83.069,611310,Other,48349.37,48299.5
1003656,WD 73 A-D Platform,LA,28.9436,-89.7065,211111,Petroleum and Natural Gas Systems,47899.52,47850.2
1004799,WE HEREFORD LLC,TX,34.821895,-102.370362,325193,Other,103052.65,102944.1
1003317,WEATHERFORD PLANT,TX,32.73335,-97.8744,211111,Petroleum and Natural Gas Systems,58550.18,58489.9
1003526,WEDRON COMPLEX (WEDRON SILICA CO & TECHNISAND WEDRON),IL,41.43334,-88.77387,212322,Other,29801.44,29770.3
1006651,WELLESLEY COLLEGE,MA,42.305745,-71.312745,611310,Other,31423.85,31384.4
