Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Ferroalloy Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Zinc Production,Municipal Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1002924,110043853238,GUARDIAN INDUSTRIES CORP - RICHBURG,RICHBURG,SC,29729,610 L AND C RAILWAY DIST PARK STATE HIGHWAY 9,CHESTER,34.706035,-81.000812,327211,"C,N",Minerals,"112,793.29","112,709.60",37.50,46.19,,,,,,,,,,"78,229.39",,,,,,,"34,563.90",,,,,,,,,,,,,,,,,N,N,N
1002905,110000566245,GUARDIAN INDUSTRIES CORPORATION CARLETON FACILITY,CARLETON,MI,48117,14600 ROMINE ROAD,MONROE COUNTY,42.08986,-83.36204,327211,"C,N",Minerals,"170,567.71","170,432.90",61.50,73.31,,,,,,,,,,"130,850.61",,,,,,,"39,717.10",,,,,,,,,,,,,,,,,N,N,N
1006117,110014020200,GULF PINES LANDFILL,BILOXI,MS,39532,14543 HUDSON KROHN RD,HARRISON COUNTY,30.497528,-88.942694,562212,HH,Waste,"6,150.00",,"6,150.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,150.00",N,N,N
1002290,110028179110,GULF PLAINS GAS PLANT,BISHOP,TX,78343,7226 COUNTY ROAD 16,NUECES,27.6871,-97.9021,211112,"C,NN-FRAC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems","67,041.07","66,971.94",31.58,37.55,,,,,,,,,,"67,041.07",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007462,110043973466,GULFPORT ENERGY CORP/W COTE BLANCHE BAY C B,Franklin,LA,70538,197 Ivanhoe Texaco Lane,ST. MARY PARISH,29.784471,-91.73295,211111,C,Petroleum and Natural Gas Systems,"35,254.27","35,218.10",16.50,19.67,,,,,,,,,,"35,254.27",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1008037,110043806913,GULFSTREAM STATION 410 (a.k.a. STATION 100),CODEN,AL,36523,6301 ROCK ROAD,MOBILE,30.395809,-88.189978,486210,C,Petroleum and Natural Gas Systems,"266,041.88","265,767.63",125.25,149.00,,,,,,,,,,"266,041.88",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007080,110037383836,GULFSTREAM STATION 420,PALMETTO,FL,34221,4610 BUCKEYE ROAD,MANATEE COUNTY,27.624632,-82.517031,486210,C,Petroleum and Natural Gas Systems,"45,918.77","45,870.20",21.75,26.82,,,,,,,,,,"45,918.77",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003663,110000482736,"GWF POWER SYSTEMS, L.P. (SITE 3)",ANTIOCH,CA,94509,1900 WILBUR AVENUE,CONTRA COSTA COUNTY,38.01233,-121.78098,221112,C,Power Plants,"181,707.95","180,432.80",470.25,804.90,,,,,,,,,,"181,707.95",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003618,110000512133,"GWF POWER SYSTEMS, L.P. (SITE 4)",ANTIOCH,CA,94509,3400 WILBUR AVENUE,CONTRA COSTA COUNTY,38.0123,-121.75611,221112,C,Power Plants,"190,716.35","189,296.50",525.25,894.60,,,,,,,,,,"190,716.35",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003662,110043798888,"GWF POWER SYSTEMS, L.P. (SITE 5)",Bay Point,CA,94565,555 NICHOLS ROAD,CONTRA COSTA COUNTY,38.0435,-121.98806,221112,C,Power Plants,"200,705.20","199,193.80",557.50,953.90,,,,,,,,,,"200,705.20",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003641,110000512151,"GWF POWER SYSTEMS, L.P. (Site 1)",PITTSBURG,CA,94565,895 EAST THIRD STREET,CONTRA COSTA COUNTY,38.0302,-121.87009,221112,C,Power Plants,"179,895.25","178,622.30",467.75,805.20,,,,,,,,,,"179,895.25",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003644,110000483414,"GWF POWER SYSTEMS, L.P. (Site 2)",PITTSBURG,CA,94565,1600 LOVERIDGE ROAD,CONTRA COSTA COUNTY,38.01529,-121.8597,221112,C,Power Plants,"196,258.30","194,762.20",542.50,953.60,,,,,,,,,,"196,258.30",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006811,110000896816,Gadsby,SALT LAKE CITY,UT,84104,1407 WEST NORTH TEMPLE REAR,Salt Lake,40.7686,-111.9289,221112,D,Power Plants,"243,985.20","243,737.50",113.00,134.70,,,,,,,,,,,"243,985.20",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007423,110000368183,Gadsden,GADSDEN,AL,35903,1000 GOODYEAR AVE,Etowah,34.0128,-85.9708,221112,"C,D",Power Plants,"334,628.61","331,867.30","1,011.75","1,749.56",,,,,,,,,"3,133.40","1,302.30","333,326.31",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002404,110032790424,"Gainesville Regional Utilities, South Energy Center",Gainesville,FL,32608,1390 SW 14th Ave,ALACHUA COUNTY,29.63791,-82.34004,221112,C,Power Plants,"21,128.82","21,106.90",10.00,11.92,,,,,,,,,,"21,128.82",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007790,110000493136,Gallatin,GALLATIN,TN,37066,1499 STEAM PLANT RD,Sumner,36.3156,-86.4006,221112,"C,D",Power Plants,"6,476,285.22","6,442,629.80","1,712.50","31,942.92",,,,,,,,,,"26,211.26","6,450,073.96",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001586,110070081797,Garden City,GARDEN CITY,KS,67846,2075 W SAINT JOHN ST,Finney,37.9703,-100.8956,221112,"C,D",Power Plants,"41,016.15","40,974.50",19.00,22.65,,,,,,,,,,"5,804.43","35,211.72",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002101,110043806922,Garnet Valley Facility,LAS VEGAS,NV,89165,11401 I15,CLARK,35.99,-115.09,221112,C,Power Plants,"345,941.75","345,585.00",162.75,194.00,,,,,,,,,,"345,941.75",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004383,110043812513,Gary,Gary City,TX,75643,,PANOLA,32.04055556,-94.3325,486210,C (Abbr),Petroleum and Natural Gas Systems,"29,005.44","28,975.30",13.75,16.39,,,,,,,,,,"29,005.44",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005478,110040494523,Gary Sanitary Closed Landfill,Gary,IN,46402,1900  Burr St,LAKE,41.5837,-87.4089,562212,HH,Waste,"50,421.50",,"50,421.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,421.50",N,N,N
1004781,110007515162,Gas Transmission Northwest Pipeline Athol CS#5,ATHOL,ID,83801,2244 EAST SEASONS ROAD,KOOTENAI,47.917428,-116.755223,486210,C,Petroleum and Natural Gas Systems,"64,217.31","64,151.00",30.25,36.06,,,,,,,,,,"64,217.31",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005013,110007739297,Gas Transmission Northwest Pipeline Bend CS#12,BEND,OR,97701,55640 S. Highway 97,DESCHUTES COUNTY,43.821376,-121.422827,486210,C,Petroleum and Natural Gas Systems,"73,634.62","73,559.00",34.50,41.12,,,,,,,,,,"73,634.62",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004780,110013844581,Gas Transmission Northwest Pipeline Bonanza CS#14,BONANZA,OR,97623,,KLAMATH,42.173981,-121.439297,486210,C,Petroleum and Natural Gas Systems,"69,320.79","69,249.00",32.75,39.04,,,,,,,,,,"69,320.79",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004783,110013866227,Gas Transmission Northwest Pipeline Chemult CS#13,CHEMULT,OR,97731,,KLAMATH,43.082157,-121.828345,486210,C,Petroleum and Natural Gas Systems,"31,916.88","31,884.00",15.00,17.88,,,,,,,,,,"31,916.88",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004782,110007739322,Gas Transmission Northwest Pipeline Ione CS#9,IONE,OR,97843,,MORROW COUNTY,45.48928,-119.848917,486210,C,Petroleum and Natural Gas Systems,"33,983.52","33,949.00",15.75,18.77,,,,,,,,,,"33,983.52",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004778,110007169893,Gas Transmission Northwest Pipeline Kent CS#10,KENT,OR,97033,,SHERMAN,45.12835,-120.614184,486210,C,Petroleum and Natural Gas Systems,"80,572.75","80,490.00",37.75,45.00,,,,,,,,,,"80,572.75",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004773,110006459643,Gas Transmission Northwest Pipeline Rosalia CS#6,ROSALIA,WA,99170,EAST 315 BABB ROAD,WHITMAN,47.277262,-117.406708,486210,C,Petroleum and Natural Gas Systems,"86,894.32","86,805.00",40.75,48.57,,,,,,,,,,"86,894.32",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005008,110014021646,Gas Transmission Northwest Pipeline Sandpoint CS#4,SANDPOINT,ID,83864,237 SAMUELS ROAD,BONNER COUNTY,48.435226,-116.48628,486210,C,Petroleum and Natural Gas Systems,"101,447.67","101,343.00",47.75,56.92,,,,,,,,,,"101,447.67",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
